Year,Sector Economico,Codigo de Producto,Producto,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,TOTAL
2024,Total OTROS 1/,901212000,"CAFE TOSTADO, SIN DESCAFEINAR, MOLIDO",4260.58,3208.95,0,0,0,0,0,0,0,0,0,0,7469.53
2024,Total OTROS 1/,201300010,"CORTES FINOS DE CARNE DESHUESADA DE BOVINO, FRESCA O REFRIGERADA",6067.28,0,0,0,0,0,0,0,0,0,0,0,6067.28
2024,Total OTROS 1/,207130090,"DEMAS TROZOS Y DESPOJOS DE GALLO O GALLINA, FRESCOS O REFRIG., EXCEP.CUARTOS TRASEROS",5752.2,0,0,0,0,0,0,0,0,0,0,0,5752.2
2024,Total OTROS 1/,810902000,"CHIRIMOYA, GUANABANA Y DEMAS ANONAS (ANNONA SPP.) FRESCAS",862.5,2951,0,0,0,0,0,0,0,0,0,0,3813.5
2024,Total OTROS 1/,1106209000,"HARINA, SEMOLA Y POLVO DE SAGU O DE RAICES O TUBERCULOS DE LA PARTIDA 07.14",2635.2,0,0,0,0,0,0,0,0,0,0,0,2635.2
2024,Total OTROS 1/,705190000,"LAS DEMAS LECHUGAS, FRESCAS O REFRIGERADAS",2563.48,0,0,0,0,0,0,0,0,0,0,0,2563.48
2024,Total OTROS 1/,3402419000,LOS DEMÁS,2056.33,0,0,0,0,0,0,0,0,0,0,0,2056.33
2024,Total OTROS 1/,704200000,"COLES (REPOLLITOS) DE BRUSELAS, FRESCOS O REFRIGERADOS",1239.17,0,0,0,0,0,0,0,0,0,0,0,1239.17
2024,Total OTROS 1/,3401110000,"JABON DE TOCADOR (INCLUSO MEDICINAL), EN BARRA, PANES O TROZOS",1177.47,0,0,0,0,0,0,0,0,0,0,0,1177.47
2024,Total OTROS 1/,2005200000,"PAPAS (PATATAS) PREPARADAS O CONSERVADAS, SIN CONGELAR",1151.52,0,0,0,0,0,0,0,0,0,0,0,1151.52
2024,Total OTROS 1/,808100000,MANZANAS FRESCAS,899.76,0,0,0,0,0,0,0,0,0,0,0,899.76
2024,Total OTROS 1/,909610000,"SEMILLAS ANIS, BADIANA, ALCARAVEA O HINOJO; BAYAS DE ENEBRO; S/TRITURAR NI PULVERIZAR",451.07,0,0,0,0,0,0,0,0,0,0,0,451.07
2024,Total OTROS 1/,7013990000,"DEMAS ARTIC. DE VIDRIO P` COCINA, OFICINA O SIMILARES EXCP. DE CRISTAL AL PLOMO",80,0,0,0,0,0,0,0,0,0,0,0,80
2024,Total OTROS 1/,3924900000,"LAS DEMAS VAJILLAS, ARTICULOS  DE USO DOMESTICO, DE HIGIENE O TOCADOR",50,0,0,0,0,0,0,0,0,0,0,0,50
2024,Total OTROS 1/,2710192210,LOS DEMAS ACEITES PESADOS: FUELOILS ( FUEL ) : RESIDUAL 6,8623555,13483063,11783680,0,0,0,0,0,0,0,0,0,33890298
2024,Total OTROS 1/,2710191510,CARBURORREACTOTES TIPO QUEROSENO PARA REACTORES Y TURBINAS PARA EMPRESAS DE AVIACION,6533699.25,6134129.3,6344075.0800000001,0,0,0,0,0,0,0,0,0,19011903.63
2024,Total PRODUCTOS TRADICIONALES,2602000000,"MINERALES DE MANGANESO Y SUS CONCENTRADOS, INCL. LOS MINER. DE MANGANESO FERRUGINOSOS",0,0,5650,0,0,0,0,0,0,0,0,0,5650
2024,Total PRODUCTOS TRADICIONALES,2710193700,ACEITES BLANCOS (DE VASELINA O DE PARAFINA),0,0,1269.2,0,0,0,0,0,0,0,0,0,1269.2
2024,Total PRODUCTOS TRADICIONALES,2710200090,DEMÁS ACEITES PETROLEO O MINERAL BITUMINOSO Y PREPARAC. NO COMPRENDIDAS EN OTRA PARTE,0,0,2,0,0,0,0,0,0,0,0,0,2
2024,Total PRODUCTOS TRADICIONALES,7402001000,COBRE BLISTER SIN REFINAR,0,0,12883565.689999999,0,0,0,0,0,0,0,0,0,12883565.69
2024,Total PRODUCTOS TRADICIONALES,7403190000,LOS DEMAS COBRES REFINADOS,0,0,361628.21,0,0,0,0,0,0,0,0,0,361628.21
2024,Total PRODUCTOS TRADICIONALES,2620190000,CENIZAS Y RESIDUOS (ESC. LOS DE LA SIDERURGIA) QUE CONTENGAN PRINCIPALMENTE CINC,0,0,297608.36,0,0,0,0,0,0,0,0,0,297608.36
2024,Total OTROS 1/,3208900000,LAS DEMAS PINTURAS Y BARNICES DISPERSOS O DISUELTOS EN UN MEDIO NO ACUOSO,0,0,6059.47,0,0,0,0,0,0,0,0,0,6059.47
